Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Jose Adames,BOS,0.0468,0.0511,0,4.57254,1,0,0,0,,1,4.437,0.9632,0.5468,0.50806,0.1183,0.5433,,0.0475,0.958,8.622,4.8897,1.7633,1.0647,0.215912,0.122448,0.093464054,0.250429,1.5065,0.305029,0.715724,,,4.56078,-0.00417999,-0.0475621,999,,,,,,,3.8,3.8,4,4,,,,,,,,,,,,,,,,,,,Jose Adames,sa597194,600853
Robert Dugger,ATH,0.0471,0.0568,0.0162,4.58685,0.7939,0.0439,0,0,,1,4.351,1.0304,0.5483,0.50965,0.1428,0.3875,,0.0338,0.767,6.903,3.4875,1.97935,1.2852,0.176281,0.08906,0.087221347,0.262208,1.4179,0.293917,0.713969,,,4.75278,-0.00418113,-0.0475588,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Robert Dugger,19191,667498
Alex Phillips,,0.0471,0.0508,0,4.4055,1,0,0,0,,1,4.361,0.964,0.5253,0.4895,0.1343,0.4418,,0.0413,0.9317,8.3853,3.9762,2.10887,1.2087,0.213644,0.101307,0.112336621,0.248588,1.4058,0.295067,0.723037,,,4.49828,-0.00418567,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Alex Phillips,sa3008595,641974
Zac Lowther,,0.0475,0.0504,0,4.5072,1,0,0,0,,1,4.376,1.0251,0.5375,0.5008,0.144,0.3796,,0.0529,0.8236,7.4124,3.4164,2.16965,1.296,0.188208,0.0867459,0.101462528,0.259947,1.4047,0.296079,0.720805,,,4.68878,-0.00420042,-0.0475314,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Zac Lowther,20243,675912
Eric Skoglund,,0.0484,0.0595,0.0283,4.7232,0.6496,0.0746,0,0,,1,4.407,1.0506,0.5619,0.5248,0.1379,0.4007,,0.0486,0.788,7.092,3.6063,1.96656,1.2411,0.178806,0.0909235,0.087882906,0.265457,1.4513,0.301042,0.70686,,,4.73108,-0.00420042,-0.047549,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Eric Skoglund,16155,607215
Duane Underwood Jr.,,0.046,0.0519,0,4.59657,1,0,0,0,,1,4.398,1.0179,0.5496,0.51073,0.1309,0.4285,,0.0525,0.8053,7.2477,3.8565,1.87935,1.1781,0.183106,0.0974307,0.085675307,0.259867,1.4464,0.297571,0.709977,,,4.70058,-0.00421177,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Duane Underwood Jr.,14677,621249
Jesus Cruz,LAA,0.0458,0.0521,0,4.57542,1,0,0,0,,1,4.352,0.9761,0.543,0.50838,0.156,0.4141,,0.0432,0.926,8.334,3.7269,2.23617,1.404,0.212776,0.0951516,0.117624074,0.250623,1.3902,0.29157,0.72299,,,4.71438,-0.00421518,-0.0475415,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Jesus Cruz,20042,672911
Matt Moore,BOS,0.7308,0.7782,0,4.49316,15.4074,0,0,0.5954,,15.4074,67.576,14.8908,8.2192,7.69199,2.1639,7.1192,,0.6287,14.5116,8.47673,4.15857,2.03837,1.26401,0.214745,0.105351,0.109393857,0.248893,1.42853,0.294928,0.726576,,,4.61716,-0.0042313,-0.0194311,999,,,,,,,57.4,3.826666667,59,3.933333333,,,,,,,,,,,,,,,,,,,Matt Moore,1890,519043
Cameron Bishop,,0.0487,0.0492,0,4.2678,1,0,0,0,,1,4.373,0.9739,0.5119,0.4742,0.1281,0.4476,,0.0456,0.9096,8.1864,4.0284,2.03217,1.1529,0.208004,0.102355,0.105648294,0.251018,1.4215,0.297597,0.732273,,,4.49218,-0.00423901,-0.0475314,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Cameron Bishop,sa829601,656235
Tyler Higgins,,0.0471,0.0509,0,4.4253,1,0,0,0,,1,4.331,0.9902,0.5269,0.4917,0.1411,0.3806,,0.041,0.8812,7.9308,3.4254,2.31529,1.2699,0.203463,0.0878781,0.115585327,0.253287,1.3708,0.294101,0.719278,,,4.50318,-0.00424128,-0.0475359,999,,,,,,,6.8,6.8,7,7,,,,,,,,,,,,,,,,,,,Tyler Higgins,sa503722,572371
