Name,Team,Stuff+,Location+,TTO%,NameASCII,PlayerId,MLBAMID
"Hunter Gaddis","CLE",97.722263087055,106.3811832244858,0.33906634,"Hunter Gaddis",25636,683769
"Bailey Ober","MIN",96.50359597026629,105.5255017447133,0.33869442,"Bailey Ober",21224,641927
"Yunior Marte","PHI",103.96270833333334,98.261875,0.33858268,"Yunior Marte",14416,628708
"Pablo López","MIN",94.00124929215539,112.61602091600139,0.33856722,"Pablo Lopez",17085,641154
"Carlos Hernández","- - -",107.98009578544061,98.1350957854406,0.33840304,"Carlos Hernandez",22713,672578
"Yu Darvish","SDP",99.76557768924303,100.9618804780876,0.33836858,"Yu Darvish",13074,506433
"Dustin May","LAD",98.044025869038,96.47996766370252,0.33823529,"Dustin May",19716,669160
"J.P. Feyereisen","- - -",90.0229084526638,103.14060489308419,0.33802817,"J.P. Feyereisen",16610,656420
"Matthew Boyd","- - -",93.99155824056639,104.47166671241979,0.33789063,"Matthew Boyd",15440,571510
"Forrest Whitley","- - -",109.31722080136402,82.83295538505259,0.33766234,"Forrest Whitley",19586,666215
"Roki Sasaki","LAD",90.4446644295302,91.19275167785237,0.33766234,"Roki Sasaki",35323,808963
"Sean Burke","CHW",93.31516165980563,100.27885253858626,0.33740831,"Sean Burke",29878,680732
"Luis L. Ortiz","- - -",98.65857642654692,98.1200979329886,0.33736264,"Luis L. Ortiz",27646,682847
"Tyler Matzek","- - -",99.61228648013511,91.26283359036499,0.3373494,"Tyler Matzek",10058,554431
"José Castillo","- - -",107.84193107629564,102.2464875484879,0.3372093,"Jose Castillo",17169,620454
"Louis Varland","MIN",102.3427444633715,101.25360358781275,0.33692722,"Louis Varland",27691,686973
"Raisel Iglesias","ATL",103.50180807049004,104.14637371019577,0.33687003,"Raisel Iglesias",17130,628452
"Colten Brewer","CHC",98.48892307692306,96.57420512820514,0.33684211,"Colten Brewer",12997,605155
"Jordan Weems","WSN",99.54205198358412,87.54021887824898,0.33673469,"Jordan Weems",13190,607179
"Joe Musgrove","SDP",108.16029077117572,97.13364096080913,0.33658537,"Joe Musgrove",12970,605397
"Génesis Cabrera","- - -",109.21210957692995,93.05785204072835,0.33625731,"Genesis Cabrera",17490,650893
"Max Meyer","MIA",92.40727140890826,103.33019348494314,0.3358349,"Max Meyer",27474,676974
"JT Chargois","- - -",97.01043478260868,98.97663516068053,0.33561644,"JT Chargois",13767,608638
"Clay Holmes","- - -",112.81593617007545,101.53718483905006,0.33549433,"Clay Holmes",13649,605280
"Anthony Bender","MIA",116.03536209806691,99.08256883215354,0.33519553,"Anthony Bender",19742,669622
"Elvis Peguero","MIL",105.6574796568676,96.75716571352112,0.33460076,"Elvis Peguero",21652,665625
"Kyle Gibson","- - -",87.3467951782806,99.62046083455951,0.33459119,"Kyle Gibson",10123,502043
"Landen Roupp","SFG",98.08435153141681,105.10440494568805,0.33454545,"Landen Roupp",30076,694738
"Justin Lawrence","- - -",104.47416788770894,93.5285206440595,0.33436533,"Justin Lawrence",17639,664875
"Adrian Morejon","SDP",122.29733708591951,103.09542633409953,0.33416459,"Adrian Morejon",20039,670970
"Aaron Hicks","LAA",49.900000000000006,78.86,0.33333333,"Aaron Hicks",5297,543305
