"last_name, first_name","player_id","year","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate"
"Eflin, Zach",621107,2024,".249",".405",".297",".297",".279",".157",".352",".353",".318",".313",".005","-0.001",".000","71.5",22.2,15.7,12.5,35.1,28.1,"7.4",22,"88.1","13.3",30,7.5
"Kochanowicz, Jack",686799,2025,".292",".475",".342",".364",".363",".184",".363",".391",".327",".344","-0.007","-0.036","-0.022","71.6",25.6,15.6,12.8,39.2,32.2,"7.3",3,"91.8","9.9",25.2,10.3
"Ryan, Joe",657746,2025,".223",".426",".289",".304",".275",".204",".376",".398",".314",".323","-0.007","-0.042","-0.015","72",25.9,13.1,9.3,33.7,23.9,"7.2",0,"92.6","22.4",33.7,14
"Waldron, Matt",663362,2024,".246",".406",".323",".313",".308",".160",".378",".364",".331",".321",".009",".024",".010","71.5",22.7,14.6,11.9,33.9,27.6,"7.3",15,"88.1","16.4",33.9,7
"Brown, Ben",676962,2025,".273",".433",".373",".355",".371",".160",".450",".421",".436",".381",".042","-0.007",".018","71.3",20,17.3,12.9,38.6,28.8,"7.4",13,"92","10.9",44.9,7.7
"Sasaki, Roki",808963,2025,".258",".461",".303",".374",".387",".203",".282",".392",".254",".331","-0.060","-0.153","-0.071","71",17.8,15.4,12.3,38.5,30.8,"7.2",3,"91","12.5",32.4,9.9
"Pfaadt, Brandon",694297,2024,".246",".397",".312",".301",".292",".151",".389",".374",".347",".332",".013",".024",".011","72.1",26.1,13.9,10.5,33.1,25.1,"7.4",20,"89.4","14.1",33,8.1
"Valdez, Framber",664285,2025,".270",".404",".309",".334",".347",".134",".345",".383",".297",".356","-0.041","-0.015","-0.025","72.9",31.8,14.6,11.4,31.4,24.6,"7.4",6,"90.6","6.7",32.4,7.8
"Liberatore, Matthew",669461,2025,".259",".391",".250",".285",".271",".132",".317",".363",".308",".339","-0.024","-0.072","-0.035","71.6",25.4,17.1,13.2,43.2,33.3,"7.4",3,"91.4","11.2",31.9,5.5
"Bradley, Taj",671737,2025,".243",".383",".319",".313",".324",".140",".349",".342",".314",".310",".003",".002",".006","72.6",32.1,14,11.3,30.9,24.9,"7.3",9,"89.5","12.7",30.4,4.9
"Eovaldi, Nathan",543135,2025,".260",".456",".227",".328",".299",".195",".282",".431",".255",".368","-0.077","-0.174","-0.101","71.9",22.9,15.8,11.5,33.9,24.5,"7.5",3,"91.1","8.3",33.7,9.5
"Singer, Brady",663903,2025,".223",".361",".283",".284",".285",".138",".359",".360",".310",".322","-0.007",".002","-0.001","72.9",28.1,16.7,12.9,34.1,26.3,"7.3",5,"90.9","17.3",38,8.5
"Ryan, Joe",657746,2024,".208",".352",".282",".264",".249",".144",".365",".337",".303",".292",".009",".048",".018","71.2",21.4,10.9,8.1,29.4,21.9,"7.2",17,"88.3","18.5",33.6,8.5
"Boyd, Matthew",571510,2025,".251",".377",".320",".312",".324",".127",".356",".344",".337",".321",".013","-0.004",".008","70.9",20,13.5,10.5,34.8,27,"7.2",2,"88.4","18.4",34.5,3.4
"Myers, Tobias",668964,2024,".251",".419",".297",".317",".306",".168",".352",".380",".317",".332","-0.009","-0.032","-0.020","71.8",23.3,14.9,11.9,32.1,25.7,"7.3",15,"89.8","16.4",36.4,8
